Gender,Age group,State or Territory,Currently pregnant,Number of children,Age of youngest child,Essential oils preferences,Natural ingredients importance,How often use baby bath products,How often use baby shampoo,Survey Question 11,Survey Question 12,Survey Question 13,Survey Question 14,Survey Question 15,Survey Question 16,Survey Question 17,Survey Question 18,Survey Question 19,Survey Question 20,Survey Question 21,Survey Question 22,Survey Question 23,Survey Question 24,Survey Question 25,Survey Question 26,Survey Question 27,Survey Question 28,Survey Question 29,Survey Question 30,Survey Question 31,Survey Question 32,Survey Question 33,Survey Question 34,Survey Question 35,Survey Question 36,Survey Question 37,Survey Question 38,Survey Question 39,Survey Question 40,Survey Question 41,Survey Question 42,Survey Question 43,Survey Question 44,Survey Question 45,Survey Question 46,Survey Question 47,Survey Question 48,Survey Question 49,Survey Question 50,Survey Question 51,Survey Question 52,Survey Question 53
Female,Female,Male,Male,Female,Male,Strongly Agree,Agree,Sometimes,Always,Neutral,Always,Strongly Disagree,Strongly Disagree,Sometimes,Neutral,Strongly Agree,Often,Agree,Strongly Disagree,Rarely,Strongly Disagree,Strongly Disagree,Never,Neutral,Disagree,Always,Strongly Disagree,Strongly Agree,Often,Disagree,Disagree,Sometimes,Neutral,Agree,Sometimes,Agree,Neutral,Sometimes,Disagree,Agree,Always,Strongly Disagree,Neutral,Never,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Agree,Rarely,Strongly Disagree,Neutral
Male,Male,Male,Female,Female,Male,Disagree,Neutral,Never,Sometimes,Disagree,Sometimes,Neutral,Strongly Disagree,Never,Strongly Agree,Strongly Agree,Always,Disagree,Disagree,Sometimes,Agree,Strongly Agree,Often,Strongly Agree,Strongly Agree,Always,Strongly Agree,Strongly Agree,Sometimes,Neutral,Strongly Disagree,Rarely,Agree,Agree,Rarely,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Disagree,Always,Strongly Disagree,Strongly Agree,Always,Agree,Agree,Never,Agree,Strongly Disagree,Never,Strongly Disagree,Strongly Disagree
Female,Male,Male,Male,Male,Male,Neutral,Neutral,Always,Often,Strongly Disagree,Always,Disagree,Strongly Disagree,Rarely,Neutral,Strongly Agree,Often,Disagree,Agree,Rarely,Strongly Disagree,Agree,Always,Strongly Disagree,Neutral,Always,Strongly Disagree,Strongly Agree,Sometimes,Agree,Neutral,Sometimes,Neutral,Disagree,Rarely,Disagree,Neutral,Always,Strongly Agree,Strongly Disagree,Rarely,Strongly Disagree,Disagree,Always,Strongly Agree,Agree,Often,Neutral,Agree,Often,Neutral,Neutral
Male,Male,Female,Male,Male,Female,Strongly Disagree,Strongly Agree,Never,Never,Strongly Disagree,Never,Strongly Disagree,Strongly Agree,Sometimes,Neutral,Neutral,Often,Neutral,Strongly Disagree,Never,Strongly Agree,Strongly Disagree,Always,Strongly Agree,Disagree,Sometimes,Strongly Disagree,Strongly Disagree,Often,Neutral,Agree,Often,Strongly Disagree,Agree,Never,Disagree,Strongly Disagree,Sometimes,Disagree,Neutral,Always,Neutral,Agree,Always,Strongly Agree,Disagree,Often,Neutral,Disagree,Never,Disagree,Disagree
Female,Female,Male,Female,Female,Male,Agree,Agree,Often,Always,Disagree,Sometimes,Disagree,Strongly Agree,Often,Neutral,Neutral,Always,Strongly Disagree,Strongly Disagree,Always,Strongly Disagree,Strongly Agree,Rarely,Agree,Strongly Disagree,Never,Strongly Agree,Neutral,Sometimes,Strongly Agree,Neutral,Always,Strongly Agree,Disagree,Often,Neutral,Disagree,Often,Neutral,Strongly Disagree,Often,Neutral,Strongly Agree,Never,Neutral,Agree,Never,Agree,Strongly Agree,Sometimes,Strongly Disagree,Agree
Male,Female,Female,Male,Male,Female,Strongly Agree,Disagree,Sometimes,Never,Agree,Sometimes,Agree,Strongly Agree,Rarely,Agree,Disagree,Sometimes,Strongly Disagree,Strongly Agree,Always,Disagree,Agree,Always,Agree,Agree,Often,Agree,Neutral,Never,Strongly Agree,Strongly Disagree,Rarely,Agree,Agree,Often,Strongly Disagree,Strongly Disagree,Rarely,Neutral,Neutral,Rarely,Disagree,Agree,Rarely,Neutral,Strongly Agree,Never,Neutral,Disagree,Sometimes,Strongly Agree,Agree
Male,Female,Male,Male,Male,Male,Strongly Disagree,Neutral,Rarely,Sometimes,Strongly Agree,Sometimes,Neutral,Strongly Agree,Never,Strongly Agree,Neutral,Rarely,Neutral,Strongly Agree,Rarely,Disagree,Strongly Disagree,Sometimes,Strongly Agree,Disagree,Never,Agree,Strongly Disagree,Sometimes,Disagree,Agree,Never,Disagree,Strongly Agree,Always,Strongly Disagree,Neutral,Rarely,Neutral,Strongly Agree,Sometimes,Strongly Disagree,Strongly Agree,Always,Agree,Disagree,Always,Strongly Agree,Strongly Agree,Rarely,Disagree,Strongly Agree
Female,Male,Female,Male,Male,Female,Strongly Disagree,Neutral,Rarely,Never,Disagree,Never,Disagree,Neutral,Rarely,Agree,Neutral,Always,Strongly Agree,Neutral,Always,Strongly Disagree,Disagree,Often,Disagree,Strongly Agree,Often,Disagree,Strongly Disagree,Often,Strongly Disagree,Disagree,Always,Disagree,Strongly Disagree,Rarely,Strongly Disagree,Strongly Agree,Often,Disagree,Neutral,Sometimes,Neutral,Strongly Agree,Rarely,Neutral,Disagree,Often,Neutral,Strongly Disagree,Often,Strongly Agree,Neutral
Male,Male,Male,Male,Male,Female,Neutral,Strongly Agree,Always,Always,Strongly Disagree,Always,Strongly Disagree,Disagree,Rarely,Strongly Disagree,Strongly Agree,Often,Agree,Agree,Sometimes,Strongly Agree,Disagree,Sometimes,Agree,Agree,Rarely,Agree,Disagree,Rarely,Disagree,Strongly Disagree,Often,Strongly Agree,Neutral,Always,Strongly Disagree,Neutral,Sometimes,Agree,Strongly Disagree,Rarely,Strongly Disagree,Neutral,Rarely,Neutral,Agree,Sometimes,Neutral,Strongly Agree,Always,Strongly Agree,Neutral
Female,Female,Male,Male,Female,Male,Agree,Agree,Rarely,Often,Neutral,Always,Agree,Agree,Sometimes,Strongly Disagree,Disagree,Often,Disagree,Disagree,Rarely,Neutral,Strongly Agree,Rarely,Neutral,Strongly Agree,Never,Strongly Disagree,Agree,Always,Disagree,Neutral,Often,Strongly Disagree,Strongly Disagree,Often,Neutral,Neutral,Never,Neutral,Disagree,Always,Neutral,Agree,Often,Strongly Agree,Agree,Always,Strongly Agree,Neutral,Often,Disagree,Disagree
