Respondent ID,Excel Row,LOHAS Segment,Propensity Score,Propensity Category,Composite Score,Actual Purchase (1-5),Patagonia Engagement (1-5),Environmental Activism (1-5),Willingness to Pay 25% (1-5),Brand Commitment (1-5),Environmental Evangelism (1-5),Price Insensitivity (1-5),Sustainability Importance (1-5),Organic Importance (1-5),Recycling Behavior (1-5),Classification Reasoning
10217033401,3,LOHAS Leaning,5.000,Very High (Premium Payer),4.036,5,N/A,3,4,5,3,1,4,5,5,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10217016388,4,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10217006523,5,LOHAS Learner,2.500,Low (Price Conscious),3.480,1,N/A,3,5,5,N/A,1,5,5,5,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10217002950,6,LOHAS Leaning,5.000,Very High (Premium Payer),3.864,5,N/A,N/A,5,1,N/A,1,4,4,5,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10216986039,7,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.773,1,N/A,N/A,4,1,N/A,2,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216978708,8,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.750,1,N/A,3,4,1,3,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216965865,9,LOHAS Leaning,5.000,Very High (Premium Payer),3.720,5,N/A,3,4,1,N/A,2,5,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10216964851,10,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216953316,11,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.773,1,N/A,N/A,5,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216951345,12,LOHAS Leaning,5.000,Very High (Premium Payer),4.034,5,3,3,4,5,N/A,1,5,5,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10216943814,13,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,3,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216942185,14,LOHAS Learner,2.500,Low (Price Conscious),3.136,1,N/A,N/A,4,5,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
