Respondent ID,Excel Row,LOHAS Segment,Percentile Rank,Propensity Score,Propensity Category,Composite Score,Actual Purchase (1-5),Willingness to Pay 25% (1-5),Patagonia Engagement (1-5),Brand Commitment (1-5),Environmental Evangelism (1-5),Transparency Desire (1-5),Environmental Activism (1-5),Recycling Behavior (1-5),Sustainability Importance (1-5),Organic Importance (1-5),Price Insensitivity (1-5),Classification Reasoning
10207441945,377,LOHAS Leader,100.0%,5.000,"Very High (Premium Payer - Proven)",4.689,5,5,N/A,5,N/A,5,N/A,5,5,5,1,"Top 100% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10205237021,614,LOHAS Leader,99.9%,5.000,"Very High (Premium Payer - Proven)",4.689,5,5,N/A,5,N/A,5,N/A,5,5,5,1,"Top 100% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10201689481,923,LOHAS Leader,99.8%,5.000,"Very High (Premium Payer - Proven)",4.689,5,5,N/A,5,N/A,5,N/A,5,5,5,1,"Top 100% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10199241608,1007,LOHAS Leader,99.7%,5.000,"Very High (Premium Payer - Proven)",4.583,5,5,N/A,5,3,5,N/A,5,5,5,2,"Top 100% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10207459955,376,LOHAS Leader,99.6%,5.000,"Very High (Premium Payer - Proven)",4.573,5,5,N/A,5,N/A,5,N/A,4,4,5,2,"Top 100% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10205492568,576,LOHAS Leader,99.5%,5.000,"Very High (Premium Payer - Proven)",4.573,5,5,N/A,5,N/A,5,N/A,5,4,5,1,"Top 100% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10206841032,450,LOHAS Leader,99.4%,5.000,"Very High (Premium Payer - Proven)",4.540,5,5,N/A,5,N/A,5,3,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10209399393,239,LOHAS Leader,99.3%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10207517781,371,LOHAS Leader,99.2%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10206953270,429,LOHAS Leader,99.1%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10206630557,459,LOHAS Leader,99.0%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10205854450,517,LOHAS Leader,98.9%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10205399962,592,LOHAS Leader,98.8%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10204407362,683,LOHAS Leader,98.7%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10204329706,694,LOHAS Leader,98.6%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10204022918,737,LOHAS Leader,98.5%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 99% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
10202117771,841,LOHAS Leader,98.4%,5.000,"Very High (Premium Payer - Proven)",4.513,5,5,N/A,5,3,5,N/A,5,5,5,1,"Top 98% of respondents; Very High propensity; Has purchased for sustainability; Willing to pay 25% premium; Strong brand alignment"
