Q_Number,Column_Index,Column_ID,Question_Text,Original_Row_0,Original_Row_1,Response_Type,Notes
preData,0,"respondent_id","Respondent ID","Respondent ID","",categorical,"Survey metadata"
preData,1,"collector_id","Collector ID","Collector ID","",categorical,"Survey metadata"
preData,2,"start_date","Start Date","Start Date","",categorical,"Survey metadata"
preData,3,"end_date","End Date","End Date","",categorical,"Survey metadata"
preData,4,"ip_address","IP Address","IP Address","",categorical,"Survey metadata"
preData,5,"email_address","Email Address","Email Address","",categorical,"Survey metadata"
Q1,6,"first_name","First Name","First Name","",categorical,""
Q2,7,"last_name","Last Name","Last Name","",categorical,""
Q3,8,"custom_data_1","Custom Data 1","Custom Data 1","",categorical,""
Q4,9,"gender","Are you? - Response","Are you?","Response",categorical,""
Q5,10,"age_group","How old are you? - Response","How old are you?","Response",categorical,""
Q6,11,"state_territory","In which State or Territory do you currently live? - Response","In which State or Territory do you currently live?","Response",categorical,""
Q7,12,"currently_pregnant","Are you currently pregnant? - Response","Are you currently pregnant?","Response",categorical,""
Q8,13,"number_of_children","How many children do you have? - Response","How many children do you have?","Response",categorical,""
Q9,14,"has_child_under_age","Do you have a child aged under 12 months old? - Response","Do you have a child aged under 12 months old?","Response",categorical,""
Q10,15,"household_purchaser","Within your household who typically purchases these types of baby care products? - Response","Within your household who typically purchases these types of baby care products?","Response",categorical,""
Q11,16,"qColes or Woolworths supermarke","Coles or Woolworths supermarket in the past month","""Have you purchased baby care products (such as wipes"," bath wash",categorical,""
Q12,17,"""qChemist Warehouse"," Priceline or Big W in the past 3 months"""," Priceline o""","",categorical,""
Q13,18,"qBaby bath","How often do you usually use the following types of baby care products on your little ones: (select one per product type) - Baby bath (eg. liquid cleanser/wash)","How often do you usually use the following types of baby care products on your little ones: (select one per product type)","Baby bath (eg. liquid cleanser/wash)",frequency,""
Q14,19,"q2 in 1 Baby wash & shampoo","How often do you usually use the following types of baby care products on your little ones: (select one per product type) - 2 in 1 Baby wash & shampoo","","2 in 1 Baby wash & shampoo",frequency,""
